Durusdinium18392_c0_g1_i1	Durusdinium18392	OG0009994
Durusdinium35096_c0_g3_i1	Durusdinium35096	OG0002781
Durusdinium33940_c0_g1_i3	Durusdinium33940	OG0000981
Durusdinium24437_c0_g1_i4	Durusdinium24437	OG0002806
Durusdinium26756_c0_g1_i2	Durusdinium26756	OG0005125
Durusdinium18222_c0_g1_i2	Durusdinium18222	OG0004059
Durusdinium39523_c0_g1_i2	Durusdinium39523	OG0001584
Durusdinium18682_c0_g1_i1	Durusdinium18682	OG0008952
Durusdinium6758_c0_g1_i1	Durusdinium6758	OG0006222
Durusdinium19561_c0_g1_i1	Durusdinium19561	OG0004905
Durusdinium28610_c0_g2_i1	Durusdinium28610	OG0000033
Durusdinium23567_c0_g1_i2	Durusdinium23567	OG0008755
Durusdinium12175_c0_g1_i1	Durusdinium12175	OG0007291
Durusdinium33264_c0_g1_i3	Durusdinium33264	OG0000962
Durusdinium883_c0_g1_i2	Durusdinium883	OG0000055
Durusdinium14389_c0_g1_i2	Durusdinium14389	OG0000020
Durusdinium19274_c0_g1_i2	Durusdinium19274	OG0006571
Durusdinium50026_c0_g1_i1	Durusdinium50026	OG0005990
Durusdinium7084_c0_g1_i1	Durusdinium7084	OG0000889
Durusdinium17549_c0_g1_i1	Durusdinium17549	OG0003402
Durusdinium15270_c0_g1_i1	Durusdinium15270	OG0005502
Durusdinium262_c0_g1_i1	Durusdinium262	OG0009437
Durusdinium41071_c0_g7_i3	Durusdinium41071	OG0003149
Durusdinium38506_c0_g1_i4	Durusdinium38506	OG0000940
Durusdinium34519_c0_g1_i1	Durusdinium34519	OG0002596
Durusdinium37909_c0_g3_i6	Durusdinium37909	OG0002227
Durusdinium16376_c0_g1_i2	Durusdinium16376	OG0007361
Durusdinium34461_c0_g2_i3	Durusdinium34461	OG0008285
Durusdinium18236_c0_g1_i3	Durusdinium18236	OG0000990
Durusdinium7895_c0_g1_i1	Durusdinium7895	OG0001167
Durusdinium32776_c0_g1_i4	Durusdinium32776	OG0007288
Durusdinium31477_c0_g1_i1	Durusdinium31477	OG0006613
Durusdinium11284_c0_g1_i2	Durusdinium11284	OG0009312
Durusdinium33905_c0_g1_i5	Durusdinium33905	OG0004358
Durusdinium26027_c0_g1_i1	Durusdinium26027	OG0002342
Durusdinium54979_c0_g1_i1	Durusdinium54979	OG0010025
Durusdinium9201_c0_g1_i1	Durusdinium9201	OG0003051
Durusdinium36382_c0_g1_i1	Durusdinium36382	OG0000061
Durusdinium19066_c0_g1_i1	Durusdinium19066	OG0001335
Durusdinium20171_c0_g1_i1	Durusdinium20171	OG0007082
Durusdinium8600_c0_g1_i1	Durusdinium8600	OG0002651
Durusdinium37759_c0_g1_i4	Durusdinium37759	OG0001429
Durusdinium31812_c0_g1_i1	Durusdinium31812	OG0000057
Durusdinium22036_c0_g1_i1	Durusdinium22036	OG0008705
Durusdinium34442_c0_g1_i1	Durusdinium34442	OG0008154
Durusdinium32364_c0_g1_i2	Durusdinium32364	OG0001278
Durusdinium18499_c0_g1_i1	Durusdinium18499	OG0001319
Durusdinium24460_c0_g1_i3	Durusdinium24460	OG0008306
Durusdinium39267_c5_g1_i1	Durusdinium39267	OG0003649
Durusdinium15960_c0_g1_i3	Durusdinium15960	OG0007929
Durusdinium40359_c0_g1_i5	Durusdinium40359	OG0003883
Durusdinium39997_c0_g1_i3	Durusdinium39997	OG0005521
Durusdinium6618_c0_g1_i2	Durusdinium6618	OG0000005
Durusdinium51745_c0_g1_i1	Durusdinium51745	OG0000616
Durusdinium53068_c0_g1_i1	Durusdinium53068	OG0000881
Durusdinium51644_c0_g1_i1	Durusdinium51644	OG0001461
Durusdinium18863_c0_g1_i2	Durusdinium18863	OG0003560
Durusdinium50811_c0_g1_i1	Durusdinium50811	OG0000196
Durusdinium23508_c0_g1_i2	Durusdinium23508	OG0007576
Durusdinium21845_c0_g1_i1	Durusdinium21845	OG0001191
Durusdinium16377_c0_g1_i3	Durusdinium16377	OG0006996
Durusdinium9065_c0_g1_i2	Durusdinium9065	OG0002087
Durusdinium23887_c0_g1_i2	Durusdinium23887	OG0007206
Durusdinium3855_c0_g1_i1	Durusdinium3855	OG0006265
Durusdinium43140_c0_g1_i1	Durusdinium43140	OG0006832
Durusdinium43950_c0_g1_i1	Durusdinium43950	OG0004514
Durusdinium35251_c0_g1_i4	Durusdinium35251	OG0000357
Durusdinium50104_c0_g1_i1	Durusdinium50104	OG0007867
Durusdinium29437_c0_g1_i2	Durusdinium29437	OG0005507
Durusdinium44024_c0_g1_i1	Durusdinium44024	OG0001492
Durusdinium29720_c0_g1_i8	Durusdinium29720	OG0000514
Durusdinium41242_c0_g1_i9	Durusdinium41242	OG0008206
Durusdinium41350_c0_g3_i4	Durusdinium41350	OG0000358
Durusdinium22603_c0_g1_i3	Durusdinium22603	OG0006437
Durusdinium51810_c0_g1_i1	Durusdinium51810	OG0006008
Durusdinium19101_c0_g1_i1	Durusdinium19101	OG0009756
Durusdinium45863_c0_g1_i1	Durusdinium45863	OG0007346
Durusdinium30506_c0_g1_i2	Durusdinium30506	OG0007785
Durusdinium19082_c0_g1_i2	Durusdinium19082	OG0000385
Durusdinium25433_c0_g1_i2	Durusdinium25433	OG0005357
Durusdinium19637_c0_g1_i1	Durusdinium19637	OG0002789
Durusdinium17581_c0_g1_i2	Durusdinium17581	OG0000785
Durusdinium29510_c0_g1_i5	Durusdinium29510	OG0000664
Durusdinium24562_c0_g1_i2	Durusdinium24562	OG0009103
Durusdinium40670_c0_g3_i2	Durusdinium40670	OG0001323
Durusdinium9785_c0_g1_i2	Durusdinium9785	OG0000130
Durusdinium37591_c0_g1_i1	Durusdinium37591	OG0000020
Durusdinium3508_c0_g1_i1	Durusdinium3508	OG0009390
Durusdinium42869_c0_g1_i1	Durusdinium42869	OG0003246
